Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Payload_Data,Malware_Indicators,Anomaly_Scores,Alerts_Warnings,Attack_Type,Attack_Signature,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geo_City_location_Data,Proxy_Information,Firewall_Logs,IDS_IPS_Alerts,Log_Source
10.42.0.211-23.21.95.195-50480-443-6,30-05-21 12:00,175.136.196.128,134.183.88.72,46787,51603,ICMP,919,Control,DNS,"Necessitatibus odio officiis hic.
Quos autem dolorum est. Voluptas cum quod perspiciatis nam soluta laboriosam ipsum.",IoC Detected,9.01,Alert Triggered,Malware,Known Pattern B,Logged,High,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.1),Segment A,"Aurangabad, Meghalaya",NA,NA,Alert Data,Server
10.42.0.42-54.243.147.129-50106-443-6,26-11-22 19:53,78.100.164.28,61.168.78.100,23807,30467,ICMP,1414,Control,FTP,Aut quisquam libero numquam nemo. Illo animi dolor repellendus consequuntur.,NA,14.68,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Opera/8.15.(X11; Linux x86_64; brx-IN) Presto/2.9.173 Version/11.00,Segment B,"Shimoga, Mizoram",NA,Log Data,Alert Data,Firewall
10.42.0.211-47.88.66.107-40320-80-6,06-06-21 18:50,81.200.217.30,66.76.12.4,61322,24378,TCP,1331,Control,DNS,"Esse consequuntur atque consequuntur natus ipsam tenetur ducimus.
Voluptatibus vitae quaerat voluptatum porro in nobis. Omnis exercitationem provident harum sit. Quas eos iure atque.",NA,0.39,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; shs-CA) AppleWebKit/535.6.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6535.6.4",Segment A,"Davanagere, Tamil Nadu",NA,Log Data,NA,Firewall
10.42.0.211-10.42.0.1-55347-53-17,04-02-23 6:28,122.190.180.89,139.208.63.92,59392,21068,ICMP,227,Data,FTP,"Culpa quidem vero id. Ex voluptatum vitae quidem nobis assumenda sint.
Reprehenderit voluptatem aliquam quisquam maiores harum rem. Cumque rerum tempore quasi.",NA,13.19,Alert Triggered,Malware,Known Pattern A,Ignored,Low,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/30.0.873.0 Safari/533.0",Segment C,"Mangalore, Maharashtra",NA,NA,Alert Data,Firewall
180.76.168.195-10.42.0.211-80-45735-6,24-09-23 15:31,143.25.115.93,122.252.160.100,55091,23422,ICMP,465,Control,DNS,Ab aliquam deleniti doloremque. Corporis ullam minus unde cupiditate. Repudiandae culpa excepturi deserunt repellat rem quidem.,IoC Detected,27.89,Alert Triggered,Malware,Known Pattern B,Ignored,High,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/535.12.6 (KHTML, like Gecko) Version/4.0.5 Safari/535.12.6",Segment B,"Singrauli, West Bengal",68.144.185.252,Log Data,Alert Data,Server
10.42.0.151-10.42.0.1-46838-53-17,28-11-21 4:08,209.22.108.106,42.4.79.114,9910,7200,ICMP,1364,Control,FTP,Deleniti voluptatem consectetur velit cum excepturi. Et unde optio corrupti quo quaerat eos facilis. Officiis magni eveniet hic iure perspiciatis odio.,NA,45.49,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Opera/8.95.(X11; Linux i686; it-CH) Presto/2.9.176 Version/11.00,Segment C,"Sri Ganganagar, Kerala",NA,NA,NA,Firewall
10.42.0.42-61.160.234.14-39472-80-6,29-05-20 11:21,146.251.167.172,96.64.169.221,43434,4119,UDP,1345,Data,HTTP,"Soluta in inventore quo praesentium aperiam ab. Culpa aliquam harum pariatur corrupti. Sed officiis placeat.
Quis ad sit eveniet. Reiciendis deserunt atque sapiente. Incidunt provident ab.",NA,73.28,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Opera/8.32.(Windows NT 5.2; sat-IN) Presto/2.9.167 Version/11.00,Segment A,"Narasaraopet, Manipur",NA,NA,NA,Firewall
172.217.10.238-10.42.0.211-443-40039-6,17-03-23 11:54,68.78.235.54,221.105.110.182,49879,44765,UDP,409,Data,DNS,"Natus eius esse quo facilis. Voluptates repellat autem illo fuga.
Qui ea perferendis similique. Dicta debitis beatae nam veniam. Vel eveniet voluptatem ut nesciunt beatae ipsam.",IoC Detected,33.49,Alert Triggered,DDoS,Known Pattern B,Ignored,High,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.28.4 (KHTML, like Gecko) Version/4.1 Safari/531.28.4",Segment C,"Uluberia, Assam",80.237.15.201,NA,NA,Firewall
10.42.0.211-106.11.135.2-55573-443-6,06-02-23 23:28,9.69.228.159,141.144.174.13,54163,43692,ICMP,476,Data,FTP,Consequuntur asperiores quia aut. Explicabo beatae officia omnis error totam. Eos doloremque aut mollitia impedit natus.,NA,40.58,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; fo-FO) AppleWebKit/533.22.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6533.22.1",Segment B,"Aizawl, Punjab",NA,Log Data,NA,Firewall
10.42.0.42-52.192.237.93-56727-443-6,27-11-22 13:10,146.70.222.46,42.162.20.31,61706,60171,ICMP,156,Control,DNS,"Accusamus sunt voluptatibus vitae debitis fuga. Repellat eligendi quidem ducimus officiis dicta officiis dolores. Eveniet dolorem quia.
Voluptatem labore vitae doloribus quae ab.",NA,49.57,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Opera/8.43.(X11; Linux i686; es-US) Presto/2.9.185 Version/12.00,Segment A,"Pallavaram, Madhya Pradesh",NA,NA,NA,Server
172.217.10.72-10.42.0.151-443-54830-6,28-11-21 6:28,207.142.158.155,161.37.255.221,52030,47088,TCP,1069,Control,HTTP,"Suscipit id corporis quia. Laborum voluptatibus consectetur.
Sunt quas modi perferendis sapiente. Unde nemo odio.
Inventore quae esse quam aspernatur. Animi dolorem vel alias corporis ducimus.",IoC Detected,3.88,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Opera/9.12.(Windows NT 5.01; eu-ES) Presto/2.9.169 Version/11.00,Segment C,"Hubli–Dharwad, Mizoram",40.219.137.224,Log Data,NA,Server
10.42.0.211-66.231.239.124-34823-80-6,03-07-23 16:48,89.119.250.129,173.45.127.173,46382,42973,TCP,1116,Control,FTP,"Magni eius a sed explicabo. Quo non saepe dolores.
Dicta provident a omnis hic dolorum accusantium. Soluta neque nihil.",IoC Detected,35.71,Alert Triggered,Intrusion,Known Pattern A,Logged,High,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.0),Segment A,"Rampur, Telangana",NA,Log Data,Alert Data,Firewall
10.42.0.211-52.84.134.157-46432-443-6,21-10-20 9:27,1.118.185.188,87.141.60.238,40277,62946,ICMP,1479,Control,HTTP,Deserunt illum deleniti aut praesentium ea. Adipisci error eaque accusantium distinctio saepe ex. Tenetur eveniet perferendis maiores nostrum sed quibusdam.,IoC Detected,17.97,Alert Triggered,DDoS,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/17.1k8189.0 Mobile/64S401 Safari/535.2",Segment C,"Rajahmundry, Punjab",NA,Log Data,Alert Data,Server
222.73.28.96-10.42.0.211-80-37142-6,18-01-21 8:43,140.37.245.109,78.192.187.42,37839,24528,UDP,142,Control,HTTP,Hic veritatis expedita quisquam aliquam in minima. Ratione doloremque reiciendis quaerat.,IoC Detected,14.67,Alert Triggered,Malware,Known Pattern B,Ignored,Low,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/11.6c0564.0 Mobile/57V841 Safari/531.1",Segment C,"Mirzapur, Tamil Nadu",NA,Log Data,Alert Data,Firewall
182.22.31.252-10.42.0.211-443-33057-6,15-06-20 22:05,94.97.0.73,220.207.161.140,12031,24972,ICMP,829,Control,FTP,Odio architecto architecto quibusdam rerum repellat. Sint impedit non.,NA,65.78,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/3875-12-30 14:34:41 Firefox/3.6.15,Segment A,"New Delhi, Meghalaya",NA,NA,Alert Data,Firewall
172.217.12.202-10.42.0.211-443-43309-6,29-11-22 18:07,209.88.250.142,17.216.124.30,25336,3722,TCP,350,Data,FTP,Inventore incidunt recusandae amet veritatis voluptate. Ut iure voluptatem laborum. Sunt earum occaecati autem quisquam possimus repellendus.,NA,65.98,Alert Triggered,Malware,Known Pattern B,Logged,High,Opera/8.87.(X11; Linux x86_64; am-ET) Presto/2.9.182 Version/11.00,Segment A,"Kozhikode, Haryana",125.125.128.88,Log Data,NA,Server
172.217.12.206-10.42.0.211-443-36961-6,02-05-22 18:24,123.70.1.31,70.122.30.214,39898,32964,TCP,715,Data,FTP,Minus laudantium ipsa cum error nulla nemo. Voluptatum rerum assumenda sapiente modi. Fugit iusto quo suscipit.,NA,32.48,Alert Triggered,DDoS,Known Pattern B,Logged,Low,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_1 rv:4.0; raj-IN) AppleWebKit/533.21.6 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.6",Segment B,"Junagadh, Mizoram",144.86.250.61,Log Data,Alert Data,Server
10.42.0.211-36.110.213.49-60300-80-6,08-02-23 18:16,156.226.13.214,55.141.196.41,11909,45210,TCP,155,Data,HTTP,Possimus laboriosam itaque a cupiditate dolorem. Cupiditate accusantium sed totam id quibusdam dolore. Architecto vel quaerat architecto.,NA,50.16,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/17.0.802.0 Safari/534.2",Segment A,"Nellore, Haryana",NA,NA,Alert Data,Firewall
183.3.235.80-10.42.0.151-80-54388-6,12-06-22 7:00,70.247.214.218,122.33.158.214,28944,13733,TCP,648,Data,HTTP,"Nisi sapiente quidem ex veniam culpa id. Deleniti excepturi earum voluptatum mollitia.
Error similique illo vero tempora ut facere. Unde quos nulla tempora earum hic et quibusdam.",NA,88.19,Alert Triggered,Malware,Known Pattern B,Logged,High,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0; rv:1.9.3.20) Gecko/5637-02-13 16:42:11 Firefox/8.0,Segment C,"Dharmavaram, Kerala",NA,Log Data,Alert Data,Firewall
172.217.6.238-10.42.0.211-443-38078-6,07-07-20 7:45,35.171.52.101,19.130.7.14,34707,29313,TCP,1338,Control,HTTP,Saepe ad incidunt. Laudantium tenetur in iusto quasi. Quo deleniti cupiditate iure architecto reiciendis.,IoC Detected,61.01,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.36.7 (KHTML, like Gecko) Version/4.0.3 Safari/532.36.7",Segment B,"Bally, Telangana",210.98.129.245,Log Data,NA,Firewall
10.42.0.42-52.197.242.223-38492-443-6,27-01-23 12:42,89.233.139.186,158.110.216.173,38962,50854,ICMP,995,Data,DNS,"A delectus ipsa voluptatibus iusto facere dolor. Suscipit provident porro autem velit. At quae maiores.
Dolore aspernatur quam excepturi consequuntur sit sequi.",IoC Detected,11.31,Alert Triggered,Malware,Known Pattern A,Ignored,High,"Mozilla/5.0 (Linux; Android 1.5) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/27.0.875.0 Safari/536.0",Segment A,"Sultan Pur Majra, Tripura",NA,NA,Alert Data,Server
208.185.50.80-10.42.0.151-443-52438-6,21-05-20 14:35,54.240.8.181,187.168.58.103,37523,35324,TCP,855,Control,DNS,"Ex beatae praesentium temporibus. Ad expedita nam nulla labore. Atque quo rerum sit debitis ut voluptates sequi.
Beatae tempora magni autem eveniet eius. Placeat soluta sunt in.",NA,41.59,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Opera/9.92.(X11; Linux i686; mhr-RU) Presto/2.9.189 Version/11.00,Segment C,"Sagar, Tamil Nadu",177.163.36.21,Log Data,Alert Data,Firewall
172.217.12.131-10.42.0.42-443-45974-6,01-07-20 9:25,145.85.221.66,78.171.136.228,59459,3295,TCP,84,Control,HTTP,Tenetur nisi dolore. Rem earum commodi minus quod. Dolorum rem consequatur iusto laborum deserunt quod.,IoC Detected,77.45,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Opera/8.30.(Windows NT 4.0; tr-CY) Presto/2.9.184 Version/12.00,Segment C,"Vijayawada, Manipur",NA,Log Data,Alert Data,Firewall
183.79.250.123-10.42.0.211-443-35946-6,15-01-22 16:29,62.8.27.225,59.65.94.154,41523,55032,TCP,275,Control,HTTP,Amet repudiandae est blanditiis nam aperiam iste impedit. Cupiditate animi perspiciatis nisi.,IoC Detected,17.11,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Opera/8.52.(Windows NT 6.2; lg-UG) Presto/2.9.163 Version/12.00,Segment A,"Nangloi Jat, Assam",NA,Log Data,Alert Data,Firewall
172.217.10.225-10.42.0.151-443-45440-6,18-10-21 11:25,150.152.147.26,202.22.85.152,60609,39417,UDP,170,Control,FTP,Autem itaque est. Distinctio corporis laborum earum. Laudantium dolore debitis facilis ducimus. Neque architecto natus sint ipsum eveniet quo.,IoC Detected,2.35,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.0),Segment C,"Mysore, Rajasthan",NA,NA,NA,Server
172.217.9.238-10.42.0.211-443-60325-6,13-05-22 21:22,21.144.136.80,16.170.155.146,54175,5549,TCP,197,Data,HTTP,Id nihil cum quos assumenda tenetur. Earum esse et sunt distinctio quisquam illo.,IoC Detected,64.88,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1),Segment B,"South Dumdum, Assam",NA,NA,Alert Data,Firewall
10.42.0.211-104.244.43.163-33471-443-6,02-03-20 18:42,45.146.231.17,12.25.45.6,27524,52973,UDP,1271,Data,FTP,Aliquid eligendi nisi eaque quo perspiciatis dicta. Tempora aperiam beatae aliquid unde. Vel deserunt distinctio quae reprehenderit saepe quas nesciunt.,IoC Detected,67.16,Alert Triggered,DDoS,Known Pattern A,Ignored,High,Opera/9.51.(X11; Linux x86_64; br-FR) Presto/2.9.178 Version/12.00,Segment C,"Madanapalle, Haryana",202.120.149.14,NA,NA,Server
183.79.250.123-10.42.0.211-443-48386-6,22-04-21 13:16,51.129.108.114,59.2.153.134,47132,51298,TCP,1388,Control,DNS,Amet inventore voluptatibus molestiae nam mollitia rerum. Voluptatibus tempora assumenda sint iure asperiores dolorum.,IoC Detected,23.4,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Opera/9.30.(X11; Linux i686; ts-ZA) Presto/2.9.184 Version/11.00,Segment B,"Gangtok, Assam",NA,Log Data,NA,Server
10.42.0.211-106.39.162.36-53911-80-6,08-12-20 3:48,92.228.98.209,56.112.42.215,5197,58713,TCP,175,Data,HTTP,Sint cupiditate nesciunt non ea dolorum magni dignissimos. Ducimus voluptates autem doloremque perspiciatis dolor. Doloribus ratione fuga officiis accusantium optio.,NA,60.91,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_4 rv:6.0; th-TH) AppleWebKit/533.15.1 (KHTML, like Gecko) Version/4.0.5 Safari/533.15.1",Segment A,"Mathura, Sikkim",96.67.142.239,NA,Alert Data,Firewall
10.42.0.151-31.13.71.37-57275-443-6,06-01-21 6:28,80.143.235.47,217.35.244.215,44262,38034,UDP,1449,Data,DNS,"Tenetur voluptas ipsa architecto inventore. Error aperiam ipsa magnam.
Doloribus nisi unde fugit. Iusto beatae rem cupiditate quod fuga ab. Cum eveniet delectus est consequuntur ea repudiandae.",IoC Detected,69.28,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/16.0.876.0 Safari/533.1",Segment B,"Pondicherry, Kerala",NA,Log Data,NA,Firewall
172.217.7.195-10.42.0.211-443-55929-6,10-04-23 7:10,135.123.0.18,114.79.16.207,61614,29317,UDP,87,Control,FTP,Ullam vero similique esse incidunt doloremque quae. Tenetur optio incidunt officia. Incidunt optio fugit optio corrupti quam maxime.,NA,5.15,Alert Triggered,DDoS,Known Pattern A,Logged,High,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/9304-04-08 17:45:05 Firefox/13.0,Segment A,"Shahjahanpur, Maharashtra",80.126.241.198,NA,NA,Firewall
172.217.11.45-10.42.0.151-443-42726-6,14-07-21 12:57,78.186.116.10,23.88.200.137,6663,48618,TCP,675,Data,HTTP,Illum perspiciatis eos harum omnis maiores fuga. Dolorem fuga hic harum. Nam ratione nulla nesciunt provident voluptatem dolore.,IoC Detected,70.3,Alert Triggered,Intrusion,Known Pattern B,Ignored,Medium,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.0),Segment C,"Ranchi, Manipur",NA,Log Data,NA,Firewall
172.217.12.202-10.42.0.211-443-44458-6,18-04-20 3:37,136.168.55.177,89.177.250.46,40967,37069,UDP,864,Data,DNS,Nostrum debitis ex. Eum dolorum esse laudantium commodi explicabo modi.,IoC Detected,31.21,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Opera/9.28.(X11; Linux i686; el-GR) Presto/2.9.172 Version/12.00,Segment A,"Haridwar, Sikkim",NA,NA,Alert Data,Firewall
10.42.0.151-10.42.0.1-11480-53-17,28-03-23 9:45,5.250.2.208,125.190.176.144,3476,4046,ICMP,744,Data,HTTP,Cum rerum quisquam quibusdam quo quo. Beatae occaecati suscipit illum dicta ratione. Voluptatem corporis doloribus.,IoC Detected,56.92,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.1),Segment C,"Sagar, Jharkhand",114.173.222.175,Log Data,NA,Server
172.217.10.46-10.42.0.151-443-48726-6,19-06-23 15:45,201.100.226.133,108.99.143.238,8475,56037,TCP,480,Data,HTTP,Suscipit quisquam cum officiis odit ut recusandae quibusdam. Quasi voluptatibus rerum vitae minima provident delectus. Nulla laborum ad blanditiis accusantium magnam consequuntur.,NA,57.2,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.0),Segment C,"Tadipatri, Haryana",NA,NA,NA,Firewall
180.76.151.225-10.42.0.42-80-51634-6,14-02-21 1:01,122.44.225.45,202.185.4.183,12929,14490,ICMP,1404,Control,FTP,Provident enim optio facilis impedit dolorum. Tempora odit ab asperiores explicabo doloremque amet nulla. Provident quibusdam corrupti occaecati vitae tenetur perspiciatis architecto.,NA,94.14,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Opera/8.62.(X11; Linux x86_64; et-EE) Presto/2.9.164 Version/11.00,Segment B,"Unnao, Assam",NA,NA,NA,Firewall
10.42.0.211-23.219.23.167-60540-80-6,05-03-23 0:31,215.65.234.173,177.175.172.201,1971,4025,UDP,175,Data,HTTP,"Placeat sequi quod eius. Nam quod libero qui eaque.
Commodi deleniti commodi cumque praesentium. A molestias fugit aut.",IoC Detected,40.05,Alert Triggered,DDoS,Known Pattern A,Ignored,High,Mozilla/5.0 (Android 3.2; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0,Segment B,"South Dumdum, Jharkhand",202.35.217.1,NA,Alert Data,Server
150.138.170.22-10.42.0.211-443-37044-6,10-12-20 1:55,170.196.244.34,146.47.60.120,50588,16889,ICMP,780,Data,DNS,Voluptate reprehenderit dolore molestias corporis aperiam. Necessitatibus adipisci ut minus iusto nam libero ex. Sapiente nemo eum voluptates odit explicabo.,IoC Detected,89.78,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_6 rv:5.0; ar-SY) AppleWebKit/533.17.4 (KHTML, like Gecko) Version/5.0.5 Safari/533.17.4",Segment A,"Rajkot, Telangana",NA,NA,Alert Data,Firewall
10.42.0.211-52.84.29.154-57110-443-6,05-10-21 2:44,178.10.16.105,138.77.85.45,15943,64870,ICMP,80,Control,FTP,"Cum deserunt expedita amet ea reiciendis quidem dolores. Facilis nam id veniam dolores.
Expedita rem aspernatur deserunt culpa. Sapiente modi nesciunt.",IoC Detected,34.56,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/8682-01-22 01:45:21 Firefox/3.8,Segment A,"Sambalpur, Bihar",NA,NA,NA,Server
172.217.10.136-10.42.0.42-443-46209-6,15-07-22 8:54,196.215.66.217,161.9.251.173,33333,43351,TCP,878,Data,DNS,"Enim iure nam deleniti necessitatibus rerum. Molestiae laborum voluptatibus placeat totam. Quibusdam dolorem saepe.
Laborum dolorem quibusdam sint.",IoC Detected,49.48,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Opera/8.81.(X11; Linux x86_64; he-IL) Presto/2.9.184 Version/11.00,Segment A,"Kadapa, Meghalaya",NA,Log Data,Alert Data,Server
10.42.0.211-52.94.232.33-54222-443-6,29-12-22 19:30,154.149.216.239,214.70.153.208,46166,57668,UDP,464,Data,DNS,"Beatae incidunt minima est. Est ut beatae facere repellendus. Nam dolores sit itaque ducimus et explicabo eos.
Velit animi voluptatem cumque ipsam. Repellat tempore optio harum autem.",NA,8.84,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/19.0.828.0 Mobile/09Y159 Safari/535.2",Segment B,"Bhiwani, Meghalaya",89.217.66.115,Log Data,Alert Data,Firewall
169.45.210.78-10.42.0.42-5222-36611-6,21-09-21 12:03,132.13.110.63,53.247.131.13,33228,31867,UDP,123,Control,HTTP,A voluptatem adipisci quisquam ducimus maiores. Quisquam itaque assumenda error iure doloribus facere dolores.,NA,44.67,Alert Triggered,Malware,Known Pattern A,Logged,High,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/62.0.812.0 Mobile/02J497 Safari/534.0",Segment C,"Firozabad, Kerala",13.168.234.40,Log Data,NA,Firewall
10.42.0.42-64.71.142.95-48476-443-6,18-09-20 3:42,103.85.194.198,196.52.124.27,16651,54568,TCP,229,Data,HTTP,Veniam temporibus incidunt provident sunt accusantium velit vitae. Rem earum omnis pariatur est assumenda consequatur.,NA,93.85,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/17.9d6495.0 Mobile/22Q441 Safari/535.1",Segment A,"Akola, Chhattisgarh",98.4.196.128,NA,Alert Data,Firewall
180.163.255.159-10.42.0.42-443-50712-6,01-08-22 6:05,71.111.255.182,158.198.215.57,39521,32375,ICMP,562,Control,DNS,Accusamus laudantium dicta aspernatur praesentium fugiat veniam. Facilis accusantium dolorum ullam. Accusantium qui facere non minus tempora.,NA,83.4,Alert Triggered,Malware,Known Pattern B,Logged,Medium,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.32.4 (KHTML, like Gecko) Version/4.0 Safari/531.32.4",Segment A,"Sonipat, Meghalaya",NA,Log Data,NA,Firewall
10.42.0.211-10.42.0.1-1458-53-17,26-02-23 21:29,120.130.60.25,144.30.9.19,31416,18681,ICMP,1341,Control,DNS,"Sequi doloremque ratione tempora quam possimus ullam. Amet a quae dicta voluptatum.
Neque vel vitae perferendis possimus tempore. Qui placeat magnam placeat ab. Modi molestiae placeat id eos impedit.",NA,51.17,Alert Triggered,DDoS,Known Pattern B,Ignored,High,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/26.0.851.0 Safari/531.0",Segment C,"Jamshedpur, Manipur",187.81.158.79,Log Data,Alert Data,Firewall
10.42.0.1-10.42.0.42-53-6450-17,13-08-21 15:18,122.137.216.35,178.109.221.98,10668,46538,ICMP,828,Control,HTTP,"Amet reprehenderit suscipit voluptates debitis ea. Quisquam saepe magnam facilis.
Minima aliquid temporibus quo.
Minus deleniti at saepe exercitationem.",NA,49.62,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.0),Segment B,"Satna, Maharashtra",NA,Log Data,Alert Data,Server
10.42.0.151-104.244.43.195-58059-443-6,14-04-20 21:57,99.138.222.24,75.159.76.209,61354,25364,TCP,683,Control,HTTP,Ipsam nisi quo minima aperiam sapiente. Ratione voluptatibus totam enim neque dolores odio.,NA,48.54,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.0),Segment C,"Alwar, Rajasthan",181.36.220.188,NA,NA,Server
10.42.0.211-52.179.184.189-54978-443-6,07-05-21 13:13,5.175.180.134,197.137.85.70,52445,7122,UDP,1487,Control,DNS,Placeat nostrum doloribus magni ut. Adipisci impedit nemo veritatis nesciunt accusamus quas. Fugit nesciunt aliquid.,NA,66.1,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7989-11-02 02:58:41 Firefox/3.8,Segment C,"Bhagalpur, Haryana",NA,NA,Alert Data,Server
10.42.0.211-10.42.0.1-41732-53-17,11-03-23 15:42,197.150.154.159,170.231.163.90,28779,27615,TCP,343,Data,HTTP,"Repellendus quisquam iste commodi sequi animi. Illo quaerat enim consequuntur.
Nostrum earum illum veniam accusamus. Deserunt vero veritatis eum. Pariatur incidunt totam fugit voluptatum.",NA,30.59,Alert Triggered,Malware,Known Pattern A,Blocked,Low,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_0 rv:4.0; nds-DE) AppleWebKit/534.12.6 (KHTML, like Gecko) Version/4.1 Safari/534.12.6",Segment B,"Malda, Jharkhand",NA,Log Data,NA,Firewall
169.47.40.144-10.42.0.211-443-39484-6,06-07-20 13:30,122.209.171.91,99.250.122.173,3783,44823,UDP,261,Control,DNS,Tenetur laudantium debitis perspiciatis iure accusamus officiis. Facilis nobis alias quidem ut in voluptatem.,NA,41.45,Alert Triggered,Malware,Known Pattern B,Ignored,High,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; et-EE) AppleWebKit/533.17.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.17.7",Segment C,"Anantapur, Meghalaya",NA,Log Data,NA,Firewall
10.42.0.211-31.13.80.8-52716-443-6,25-02-20 8:10,44.106.198.216,172.1.53.186,15808,61925,UDP,313,Data,DNS,"Neque ratione porro.
Officiis laborum saepe exercitationem blanditiis quas sunt. Ipsam exercitationem veniam ipsum quod nulla repudiandae.",IoC Detected,36.5,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Opera/8.90.(Windows CE; ca-FR) Presto/2.9.164 Version/12.00,Segment C,"Dhanbad, Meghalaya",150.220.71.4,NA,NA,Firewall
